Num of flow,Sum Flow Duration,Max Flow Duration,Sum Tot Fwd Pkts,Max Tot Fwd Pkts,Sum Tot Bwd Pkts,Max Tot Bwd Pkts,Sum TotLen Fwd Pkts,Max TotLen Fwd Pkts,Sum TotLen Bwd Pkts,Max TotLen Bwd Pkts,Sum Fwd IAT Tot,Max Fwd IAT Tot,Sum Bwd IAT Tot,Max Bwd IAT Tot,Sum Fwd PSH Flags,Max Fwd PSH Flags,Sum Bwd PSH Flags,Max Bwd PSH Flags,Sum Fwd URG Flags,Max Fwd URG Flags,Sum Bwd URG Flags,Max Bwd URG Flags,Sum Fwd Header Len,Max Fwd Header Len,Sum Bwd Header Len,Max Bwd Header Len,Sum FIN Flag Cnt,Max FIN Flag Cnt,Sum SYN Flag Cnt,Max SYN Flag Cnt,Sum RST Flag Cnt,Max RST Flag Cnt,Sum PSH Flag Cnt,Max PSH Flag Cnt,Sum ACK Flag Cnt,Max ACK Flag Cnt,Sum URG Flag Cnt,Max URG Flag Cnt,Sum CWE Flag Count,Max CWE Flag Count,Sum ECE Flag Cnt,Max ECE Flag Cnt,Sum Init Fwd Win Byts,Max Init Fwd Win Byts,Sum Init Bwd Win Byts,Max Init Bwd Win Byts,Sum Fwd Act Data Pkts,Max Fwd Act Data Pkts,Label
691,7563549452,77305915,4533,1386,202,19,39307.0,32550.0,7550.0,275.0,7537761085.0,77305915.0,181570095.0,56922794.0,0,0,0,0,0,0,0,0,117940,11088,3340,616,32,2,2519,5,39,1,37,17,167,37,0,0,0,0,0,0,8298250,14600,77278,16384,1833,1385,0
676,5643058410,100090205,1105,78,563,17,6356.0,386.0,5061.0,275.0,5212467000.0,100090205.0,113915954.0,51060921.0,1,1,0,0,0,0,0,0,19876,1872,10724,552,15,1,791,78,448,4,22,15,538,33,0,0,1,1,0,0,16945391,65535,955102,65535,22,11,0
76,53196026,52088744,92,16,90,16,3362.0,46.0,3605.0,275.0,48095787.0,48090146.0,52086101.0,52086101.0,0,0,0,0,0,0,0,0,1176,520,1112,520,2,1,2,2,0,0,14,14,33,31,0,0,0,0,0,0,18250,14600,509,509,1,1,0
1148,2902379189,117426150,2723,57,1953,39,11474.0,227.0,21550.0,615.0,2452393438.0,117426150.0,774832855.0,51143373.0,11,1,0,0,0,0,0,0,67412,1928,47324,1256,431,2,984,5,622,3,1189,55,3481,95,0,0,0,0,0,0,32989207,64724,2723066,65535,579,31,0
466,984955904,60400122,2695,1243,116,18,26421.0,21450.0,3954.0,275.0,980877780.0,60400122.0,97406478.0,54054111.0,1,1,0,0,0,0,0,0,51100,9944,1584,584,17,2,921,3,31,2,31,16,53,35,0,0,15,2,15,2,5576818,14600,1020,510,1674,1242,0
807,1374866301,83630825,3044,1276,120,19,5201.0,1276.0,4112.0,275.0,1372533796.0,83630825.0,49089494.0,49089494.0,0,0,0,0,0,0,0,0,77620,10208,1628,616,15,1,1660,4,30,1,17,17,69,37,0,0,13,1,13,1,10515650,14600,509,509,1279,1275,0
0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,52237105,52099990,101,16,99,16,3681.0,70.0,4498.0,275.0,48147899.0,48104381.0,52098529.0,52098529.0,0,0,0,0,0,0,0,0,1312,520,1208,520,2,1,4,2,2,1,14,14,35,31,0,0,0,0,0,0,47450,14600,509,509,1,1,0
0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,145720382,79481515,1401,1287,102,16,4578.0,1287.0,4262.0,275.0,141652113.0,79481515.0,52094811.0,52094811.0,0,0,0,0,4,1,0,0,12072,10296,1376,520,2,1,22,2,12,1,14,14,45,31,8,2,8,2,0,0,338394,36236,1018,509,1287,1286,0
139,242894507,95901775,1137,737,150,18,18393.0,11750.0,7008.0,275.0,238547751.0,95901775.0,50147921.0,50147921.0,0,0,0,0,0,0,0,0,9720,5896,1640,584,1,1,8,6,1,1,16,16,37,35,0,0,0,0,0,0,32850,14600,509,509,973,736,0
1201,14124352687,86530011,7298,2002,276,21,34438.0,24050.0,15131.0,275.0,14027174927.0,86530011.0,51051673.0,47062294.0,2,1,0,0,2,1,0,0,209240,16016,3804,680,13,2,4694,6,70,2,29,19,143,41,4,2,4,2,4,2,14791178,18939,396332,65535,2379,2001,0
76,107450813,52039543,895,803,89,16,3606.0,803.0,3603.0,275.0,102297245.0,50551657.0,52038829.0,52038829.0,0,0,0,0,0,0,0,0,7904,6424,1260,520,2,1,13,2,11,1,14,14,44,31,0,0,0,0,0,0,178850,14600,1018,509,803,802,0
0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1262,13940832140,48092582,7371,2002,335,20,39109.0,25870.0,24239.0,275.0,13837661396.0,47799185.0,65393771.0,48090595.0,0,0,0,0,0,0,0,0,208996,16016,4124,648,17,2,4673,6,62,1,23,18,139,39,0,0,4,2,4,2,14767346,36223,25396,16384,2411,2001,0
0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10428,61465058813,58314422,44607,4859,688,20,230586.0,221900.0,21997.0,660.0,61346666135.0,58314422.0,182307107.0,48060708.0,0,0,0,0,0,0,0,0,1540336,38872,16788,648,161,2,37011,6,625,4,293,18,1131,38,0,0,0,0,410,3,156700535,46733,410714,65535,7153,4858,0
61,73619375,52075743,77,16,75,16,2624.0,46.0,3659.0,275.0,68739657.0,48084051.0,52073365.0,52073365.0,0,0,0,0,0,0,0,0,1016,520,1016,520,2,1,2,2,0,0,14,14,33,31,0,0,0,0,0,0,18250,14600,1018,509,1,1,0
15,10576152,9848559,24,5,17,3,1251.0,336.0,1273.0,497.0,10548497.0,9848559.0,192913.0,192913.0,1,1,0,0,0,0,0,0,544,168,308,104,4,1,4,2,1,1,5,2,18,7,0,0,0,0,0,0,33590,14600,31506,26847,3,1,0
2320,19012437563,94007672,9731,1320,228,20,27811.0,18300.0,15514.0,275.0,18900913810.0,94007672.0,87033858.0,48145557.0,0,0,0,0,0,0,0,0,327000,10560,2876,648,1,1,7835,6,47,1,18,18,86,39,0,0,0,0,0,0,32190138,29147,49013,32120,1707,1319,0
